date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:31:50	10121/10121	---M-Z	200	added ('OK')	text/html	etag:%22b859a5c5766da1:0%22	https://coronavirus.sergas.gal/autotest/index.html?lang=es-ES	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/indexfeec.html	(from )
20:31:50	321/321	---M-Z	200	added ('OK')	text/plain	etag:%2296d47ff511e8da1:0%22	https://coronavirus.sergas.gal/robots.txt		(from )
20:31:51	4203/4203	---M--	200	added ('OK')	image/png	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/images/core/favicon/apple-touch-icon-180x180-precomposed.png	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/images/core/favicon/apple-touch-icon-180x180-precomposed.png	(from https://coronavirus.sergas.gal/autotest/index.html?lang=es-ES)
20:31:52	4592/4592	---M--	200	added ('OK')	image/png	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/images/core/favicon/apple-touch-icon-152x152-precomposed.png	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/images/core/favicon/apple-touch-icon-152x152-precomposed.png	(from https://coronavirus.sergas.gal/autotest/index.html?lang=es-ES)
20:31:53	4017/4017	---M--	200	added ('OK')	image/png	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/images/core/favicon/apple-touch-icon-144x144-precomposed.png	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/images/core/favicon/apple-touch-icon-144x144-precomposed.png	(from https://coronavirus.sergas.gal/autotest/index.html?lang=es-ES)
20:31:54	3840/3840	---M--	200	added ('OK')	image/png	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/images/core/favicon/apple-touch-icon-120x120-precomposed.png	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/images/core/favicon/apple-touch-icon-120x120-precomposed.png	(from https://coronavirus.sergas.gal/autotest/index.html?lang=es-ES)
20:31:55	3738/3738	---M--	200	added ('OK')	image/png	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/images/core/favicon/apple-touch-icon-114x114-precomposed.png	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/images/core/favicon/apple-touch-icon-114x114-precomposed.png	(from https://coronavirus.sergas.gal/autotest/index.html?lang=es-ES)
20:31:56	1905/1905	---M--	200	added ('OK')	image/png	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/images/core/favicon/apple-touch-icon-76x76-precomposed.png	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/images/core/favicon/apple-touch-icon-76x76-precomposed.png	(from https://coronavirus.sergas.gal/autotest/index.html?lang=es-ES)
20:31:57	2954/2954	---M--	200	added ('OK')	image/png	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/images/core/favicon/apple-touch-icon-72x72-precomposed.png	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/images/core/favicon/apple-touch-icon-72x72-precomposed.png	(from https://coronavirus.sergas.gal/autotest/index.html?lang=es-ES)
20:31:57	2566/2566	---M--	200	added ('OK')	image/png	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/images/core/favicon/apple-touch-icon-precomposed.png	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/images/core/favicon/apple-touch-icon-precomposed.png	(from https://coronavirus.sergas.gal/autotest/index.html?lang=es-ES)
20:31:58	318/318	---M--	200	added ('OK')	image/x-icon	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/images/core/favicon/favicon.ico	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/images/core/favicon/favicon.ico	(from https://coronavirus.sergas.gal/autotest/index.html?lang=es-ES)
20:31:59	15064/15064	---M-Z	200	added ('OK')	text/css	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/libs/jquery-ui-1.12.1-effects/jquery-ui-effects.min.css	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/libs/jquery-ui-1.12.1-effects/jquery-ui-effects.min.css	(from https://coronavirus.sergas.gal/autotest/index.html?lang=es-ES)
20:32:00	226217/226217	---M-Z	200	added ('OK')	text/css	etag:%2206751486666d61:0%22	https://coronavirus.sergas.gal/autotest/min/site-041f289e86.css	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/min/site-041f289e86.css	(from https://coronavirus.sergas.gal/autotest/index.html?lang=es-ES)
20:32:02	633/633	---M-Z	200	added ('OK')	application/x-javascript	etag:%22807656456666d61:0%22	https://coronavirus.sergas.gal/autotest/min/support.js	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/min/support.js	(from https://coronavirus.sergas.gal/autotest/index.html?lang=es-ES)
20:32:03	350889/350889	---MCZ	200	added ('OK')	application/x-javascript	etag:%2206751486666d61:0%22	https://coronavirus.sergas.gal/autotest/min/site-abf0c1926f.js	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/min/site-abf0c1926f.js	(from https://coronavirus.sergas.gal/autotest/index.html?lang=es-ES)
20:32:04	7221/7221	---M-Z	200	added ('OK')	application/x-javascript	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/libs/jquery.localize/jquery.localize.js	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/libs/jquery.localize/jquery.localize.js	(from https://coronavirus.sergas.gal/autotest/index.html?lang=es-ES)
20:32:05	25439/25439	---M-Z	200	added ('OK')	application/x-javascript	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/libs/jquery-ui-1.12.1-effects/jquery-ui-effects.min.js	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/libs/jquery-ui-1.12.1-effects/jquery-ui-effects.min.js	(from https://coronavirus.sergas.gal/autotest/index.html?lang=es-ES)
20:32:06	14094/14094	---M--	200	added ('OK')	image/svg+xml	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/images/custom/logos/coronavirus.svg	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/images/custom/logos/coronavirus.svg	(from https://coronavirus.sergas.gal/autotest/index.html?lang=es-ES)
20:32:07	68630/68630	---M--	200	added ('OK')	image/png	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/images/custom/logos/sergas-white.png	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/images/custom/logos/sergas-white.png	(from https://coronavirus.sergas.gal/autotest/index.html?lang=es-ES)
20:32:07	12221/12221	---M--	200	added ('OK')	image/svg+xml	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/images/custom/logos/xunta.svg	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/images/custom/logos/xunta.svg	(from https://coronavirus.sergas.gal/autotest/index.html?lang=es-ES)
20:32:08	3891/3891	---M--	200	added ('OK')	image/svg+xml	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/images/custom/logos/galicia-white.svg	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/images/custom/logos/galicia-white.svg	(from https://coronavirus.sergas.gal/autotest/index.html?lang=es-ES)
20:32:09	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jan%202025%2002:32:08%20GMT	https://coronavirus.sergas.gal/autotest/libs/jquery-ui-1.12.1-effects/images/ui-icons_444444_256x240.png	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/libs/jquery-ui-1.12.1-effects/images/ui-icons_444444_256x240.14.delayed	(from https://coronavirus.sergas.gal/autotest/libs/jquery-ui-1.12.1-effects/jquery-ui-effects.min.css)
20:32:10	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jan%202025%2002:32:10%20GMT	https://coronavirus.sergas.gal/autotest/libs/jquery-ui-1.12.1-effects/images/ui-icons_555555_256x240.png	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/libs/jquery-ui-1.12.1-effects/images/ui-icons_555555_256x240.15.delayed	(from https://coronavirus.sergas.gal/autotest/libs/jquery-ui-1.12.1-effects/jquery-ui-effects.min.css)
